"","X.1","X","stratum.id","LE_white_lcl","LE_white_med","LE_white_ucl","LE_white_mean","LE_black_lcl","LE_black_med","LE_black_ucl","LE_black_mean","LE_wbgap_lcl","LE_wbgap_med","LE_wbgap_ucl","LE_wbgap_mean","state","year","sex","Census_Region","Census_Division","stabbrs","state.map.order","stabbrs.map.order"
"1",1,1,"Alabama.1969.Female",75.5499628278611,75.7565508119137,75.9537634633815,75.7585335621351,67.604248725806,67.9570078348435,68.3448623570606,67.9600706432181,7.3443751759868,7.80386005920726,8.19967484049811,7.79846291891705,"Alabama",1969,"Female","South","East South Central","AL","Alabama","AL"
"2",2,2,"Alabama.1969.Male",66.4122689330929,66.6094816921086,66.8012048386225,66.6087133132163,59.0495352909163,59.4780174130171,59.8796442040479,59.4752210389992,6.67742200080271,7.12886091494068,7.62037868266452,7.13349227421705,"Alabama",1969,"Male","South","East South Central","AL","Alabama","AL"
"3",3,3,"Alabama.1970.Female",75.7131039578507,75.8934203133516,76.0686929689179,75.8951806036411,67.894304907169,68.2497685897363,68.5863151809705,68.2488847339868,7.24497539507246,7.64140511728213,8.04274134970921,7.64629586965431,"Alabama",1970,"Female","South","East South Central","AL","Alabama","AL"
"4",4,4,"Alabama.1970.Male",66.5567588821712,66.7418955755687,66.9168252421555,66.7423240377243,59.5571173749973,59.9203478334002,60.2505906656945,59.919638233761,6.41572471272356,6.81774197737066,7.21141059014126,6.82268580396329,"Alabama",1970,"Male","South","East South Central","AL","Alabama","AL"
"5",5,5,"Alabama.1971.Female",75.9832721740329,76.154248923378,76.332609659306,76.1551213294392,68.6115904406095,68.9222795166629,69.2285447145897,68.9167405204278,6.87885898744554,7.2407217529183,7.64067422444129,7.23838080901138,"Alabama",1971,"Female","South","East South Central","AL","Alabama","AL"
"6",6,6,"Alabama.1971.Male",66.7222457070506,66.8919383964897,67.0608394416536,66.8921893675412,59.8320645052242,60.1743695015556,60.5111949030732,60.1767939963859,6.33236740600245,6.71867619622522,7.1104505623234,6.71539537115531,"Alabama",1971,"Male","South","East South Central","AL","Alabama","AL"
"7",7,7,"Alabama.1972.Female",76.1445674999397,76.3262628670913,76.4895494754212,76.3214387806701,68.9569037236748,69.2807589977648,69.599257981511,69.2815108379906,6.67474568475931,7.0378613845625,7.40163926071749,7.03992794267947,"Alabama",1972,"Female","South","East South Central","AL","Alabama","AL"
"8",8,8,"Alabama.1972.Male",66.8522958566106,67.0258310846757,67.1960950802158,67.0254764134115,60.0956753926625,60.4143022632586,60.7549623044819,60.4230913456171,6.23296512511444,6.6036358452733,6.97534005951831,6.60238506779441,"Alabama",1972,"Male","South","East South Central","AL","Alabama","AL"
"9",9,9,"Alabama.1973.Female",76.2775037034479,76.4455451752311,76.613730357636,76.4478312536934,69.3224105331049,69.6282756144609,69.9549912403708,69.6335215740771,6.46717047026831,6.81527642140576,7.18048088374372,6.81430967961631,"Alabama",1973,"Female","South","East South Central","AL","Alabama","AL"
"10",10,10,"Alabama.1973.Male",66.9924148951673,67.1547793425982,67.3114888274054,67.1540943063965,60.3968185415919,60.7124485443849,61.0200947375543,60.7149317734817,6.08679921281355,6.43465775631742,6.80618030412689,6.43916253291479,"Alabama",1973,"Male","South","East South Central","AL","Alabama","AL"
"11",11,11,"Alabama.1974.Female",76.6258318003007,76.7884835083786,76.9527192123628,76.7904906011128,70.0582411471282,70.3917672396172,70.6834034208374,70.3843573681295,6.06497528732366,6.40144857569177,6.77074083064251,6.40613323298325,"Alabama",1974,"Female","South","East South Central","AL","Alabama","AL"
"12",12,12,"Alabama.1974.Male",67.3800157583762,67.5542538957927,67.7315350684971,67.5565900757246,60.9094274567215,61.2268583129529,61.5462098807408,61.2262437815683,5.96165541069997,6.3295561433047,6.6752349134587,6.33034629415624,"Alabama",1974,"Male","South","East South Central","AL","Alabama","AL"
"13",13,13,"Alabama.1975.Female",77.127026364084,77.2936413933567,77.4717561995973,77.2968869750817,70.7617363949141,71.0787455266995,71.3872727282547,71.0774037093405,5.87818961604725,6.22002878490001,6.57545147013082,6.21948326574116,"Alabama",1975,"Female","South","East South Central","AL","Alabama","AL"
"14",14,14,"Alabama.1975.Male",67.9749984951401,68.1471597065407,68.2984640556245,68.1442643019397,61.3334390783427,61.6611921109575,62.001693833709,61.6647569893479,6.10677993334818,6.48129685448128,6.8425483031111,6.47950731259176,"Alabama",1975,"Male","South","East South Central","AL","Alabama","AL"
"15",15,15,"Alabama.1976.Female",77.4006363527411,77.5524843403269,77.722717039083,77.5547339313112,71.1002095242962,71.3872207655968,71.7091282743843,71.3930125187101,5.80992561973332,6.16696996569816,6.50641043252103,6.16172141260115,"Alabama",1976,"Female","South","East South Central","AL","Alabama","AL"
"16",16,16,"Alabama.1976.Male",68.2788414570523,68.4481667120999,68.6085645029396,68.4478844258173,61.6458976217909,61.9468792054862,62.2556181475264,61.9447262179278,6.15270882187138,6.51273137856318,6.86394278897877,6.50315820788948,"Alabama",1976,"Male","South","East South Central","AL","Alabama","AL"
"17",17,17,"Alabama.1977.Female",77.6904847100062,77.8552796647002,78.0105192628838,77.8526854069779,71.5810075492768,71.8626013871536,72.1552893400137,71.8620611641974,5.65728042085729,5.9843519160274,6.29392186996335,5.99062424278047,"Alabama",1977,"Female","South","East South Central","AL","Alabama","AL"
"18",18,18,"Alabama.1977.Male",68.5101494781278,68.675704195293,68.8289683653629,68.6726801927195,62.0581397352902,62.3564745576696,62.6739510686146,62.3598221996963,5.96828093218654,6.317629727352,6.64644102164055,6.31285799302323,"Alabama",1977,"Male","South","East South Central","AL","Alabama","AL"
"19",19,19,"Alabama.1978.Female",77.9015946689159,78.0556593038572,78.2222030963977,78.0570229374375,72.0942922688082,72.3778910472223,72.6752632274835,72.3798802998443,5.35316801219725,5.67476624685948,6.00731189498609,5.67714263759324,"Alabama",1978,"Female","South","East South Central","AL","Alabama","AL"
"20",20,20,"Alabama.1978.Male",68.8970930117142,69.0530635412423,69.2070502586574,69.053208831654,62.4051932134936,62.715989194861,63.0017323009552,62.7112203033427,6.00623251488558,6.34226049607092,6.68870990963947,6.3419885283113,"Alabama",1978,"Male","South","East South Central","AL","Alabama","AL"
"21",21,21,"Alabama.1979.Female",78.0837782773243,78.2422560922131,78.4092805192974,78.2454224316458,72.4773533217255,72.7639110245595,73.0662029480606,72.7680707887623,5.14384061683351,5.48323106114209,5.80518870841708,5.47735164288349,"Alabama",1979,"Female","South","East South Central","AL","Alabama","AL"
"22",22,22,"Alabama.1979.Male",69.2117363695188,69.3758147826986,69.5427049962284,69.3780990484975,62.9129988937238,63.2092182454935,63.5057516338267,63.2084164888329,5.81963686166733,6.17169243387157,6.52136762273092,6.16968255966456,"Alabama",1979,"Male","South","East South Central","AL","Alabama","AL"
"23",23,23,"Alabama.1980.Female",78.1632453762865,78.333727750508,78.5056388134785,78.3332088585574,72.6479937799152,72.9496561814524,73.2375059557339,72.9536466211444,5.0597495671968,5.38464983504304,5.71298561229537,5.37956223741299,"Alabama",1980,"Female","South","East South Central","AL","Alabama","AL"
"24",24,24,"Alabama.1980.Male",69.5553547802046,69.7096931598132,69.8679835695218,69.7102434456857,63.236180598123,63.5357670983404,63.8124420366745,63.5319344225615,5.84411325401338,6.17743810803569,6.51708488434579,6.17830902312422,"Alabama",1980,"Male","South","East South Central","AL","Alabama","AL"
"25",25,25,"Alabama.1981.Female",78.2676654695763,78.42705272895,78.5856244680344,78.4269596443596,73.0486537005747,73.3307779437336,73.5911848269495,73.3263898098433,4.79185812071373,5.09935392683003,5.42544330513132,5.10056983451626,"Alabama",1981,"Female","South","East South Central","AL","Alabama","AL"
"26",26,26,"Alabama.1981.Male",69.8386753715213,70.0003305671092,70.1470198197394,69.9990110941805,63.7254062791743,63.997422855379,64.2788433217144,63.995387879751,5.6828739943718,5.99710416072111,6.33431933781432,6.00362321442951,"Alabama",1981,"Male","South","East South Central","AL","Alabama","AL"
"27",27,27,"Alabama.1982.Female",78.4257502468402,78.5612689020117,78.7185478928979,78.5646900762501,73.2869051204956,73.5760446721947,73.8512877680398,73.5737966380475,4.68030522804821,4.99442607837911,5.30675615418039,4.9908934382026,"Alabama",1982,"Female","South","East South Central","AL","Alabama","AL"
"28",28,28,"Alabama.1982.Male",70.108001219364,70.2640443072174,70.4293377766263,70.2628941825681,64.0890588789921,64.368855379005,64.6567385426086,64.3685161478012,5.56965490126511,5.8912357566681,6.19987152943367,5.89437803476686,"Alabama",1982,"Male","South","East South Central","AL","Alabama","AL"
"29",29,29,"Alabama.1983.Female",78.4794449317766,78.6434209907761,78.8007879738375,78.6409215009653,73.2991148928639,73.6008999015968,73.8645964083699,73.5952994694097,4.72897148906354,5.04354112895431,5.37370719327485,5.04562203155562,"Alabama",1983,"Female","South","East South Central","AL","Alabama","AL"
"30",30,30,"Alabama.1983.Male",70.3291852144062,70.4691089604073,70.6218467784895,70.4698776882461,64.35173643866,64.6311505582069,64.918140035777,64.6325504684461,5.51521974639431,5.83707544957164,6.14681626669137,5.83732721979996,"Alabama",1983,"Male","South","East South Central","AL","Alabama","AL"
"31",31,31,"Alabama.1984.Female",78.4030036774085,78.5533975220671,78.7095105388771,78.5551757250405,73.2433857589862,73.5303977554576,73.8050611834057,73.5272664202713,4.70460519396017,5.03115772934456,5.35173254485629,5.02790930476914,"Alabama",1984,"Female","South","East South Central","AL","Alabama","AL"
"32",32,32,"Alabama.1984.Male",70.4305300159553,70.586531665541,70.7303629240763,70.5846495478969,64.4291436232153,64.7100276339206,64.9861986966007,64.7106766533654,5.56281087980706,5.87597307903727,6.17551399567818,5.87397289453147,"Alabama",1984,"Male","South","East South Central","AL","Alabama","AL"
"33",33,33,"Alabama.1985.Female",78.345023055662,78.5025084428442,78.6566987001974,78.5016068120378,73.2435907519454,73.5155357267219,73.7850282998033,73.5146275116286,4.68066036330047,4.98460692944165,5.29928994798515,4.9869793004092,"Alabama",1985,"Female","South","East South Central","AL","Alabama","AL"
"34",34,34,"Alabama.1985.Male",70.4590183885807,70.6232882154904,70.7743731064384,70.6230467410703,64.420468722805,64.6883865761772,64.9551526685412,64.6926633714699,5.61977143062491,5.93402857891216,6.25516958870638,5.93038336960036,"Alabama",1985,"Male","South","East South Central","AL","Alabama","AL"
"35",35,35,"Alabama.1986.Female",78.4815829822395,78.6389539870978,78.7891361721952,78.6355632637195,73.3022040943839,73.5952922368895,73.8892638764069,73.5896993707145,4.70344468118069,5.04591143222952,5.37123628839636,5.04586389300504,"Alabama",1986,"Female","South","East South Central","AL","Alabama","AL"
